no,grid_code
12281_27002,12.292141449275366
12284_26998,20.566565217391304
12285_27000,21.5060963768116
12287_26992,10.223372463768115
12287_26993,11.631027536231883
12287_27004,14.673137681159421
12288_26990,6.977228985507246
12288_26998,21.63374347826087
12289_26987,10.036362028985508
12289_26990,11.985895652173914
12289_27003,14.867975971014491
12290_26989,15.679444637681158
12290_26990,15.738420579710144
12290_26998,23.554594202898553
12290_27003,19.703520985507247
12291_26983,3.4358985507246382
12291_26990,21.744866086956524
12291_26992,17.537147826086958
12291_26995,26.80885652173913
12291_26996,29.8531168115942
12291_26998,34.93649420289855
12291_27002,27.391068260869567
12291_27004,21.70522608695652
12292_26989,13.868069420289856
12292_26991,20.86724202898551
12292_26992,24.531731884057972
12292_26994,24.689335217391307
12292_26995,30.26798695652174
12292_27003,23.14784826086957
12292_27005,16.444142608695653
12293_26985,9.771514492753624
12293_26993,24.24180695652174
12294_26984,19.437646376811596
12294_26988,13.460981159420289
12294_26989,12.468057971014494
12294_26993,23.35999130434783
12294_26995,50.442017391304354
12294_26997,71.7185263768116
12295_26985,9.229430434782609
12295_26990,11.739348840579712
12295_26996,42.24016434782609
12295_26998,117.20976956521739
12295_27002,27.12603768115942
12296_26986,9.217391304347826
12296_26999,67.22504834782609
12296_27004,20.782717391304345
12297_26973,7.4915942028985505
12297_26974,5.447831884057971
12297_26975,6.610840579710144
12297_26986,5.912851449275362
12297_26987,8.519819420289855
12297_26988,12.740031884057974
12297_26990,13.199300289855074
12297_26994,36.4679368115942
12297_26996,57.81495434782609
12298_26977,8.22182427536232
12298_26979,10.368428985507247
12298_26980,9.237656521739131
12298_26981,8.698117391304349
12298_26988,8.637797101449276
12298_26996,39.8852568115942
12298_26999,48.97250282608696
12298_27003,29.31272321739131
12299_26979,14.543524637681159
12299_26981,10.376839130434783
12299_26990,10.923625362318843
12299_26992,15.295244927536231
12299_26994,17.835752173913043
12299_26996,20.243269130434786
12299_26999,30.4975587826087
12299_27002,36.972073333333334
12299_27006,39.144767826086955
12299_27007,29.9690115942029
12299_27010,12.404753623188405
12300_26975,16.74445797101449
12300_26976,9.227049275362319
12300_26978,13.614395652173913
12300_26979,13.614395652173913
12300_26984,5.444629130434782
12300_26985,5.438968115942029
12300_26996,13.932410289855074
12300_26997,17.411898260869567
12300_26999,23.783912637681162
12300_27003,39.72454553623188
12300_27004,39.51346521739131
12300_27011,13.503607246376811
12301_26975,30.795324637681162
12301_26980,13.22831884057971
12301_26984,7.367792028985509
12301_26990,8.432049710144929
12301_26995,11.208536231884057
12301_27007,38.42528260869565
12301_27010,19.83454202898551
12302_26976,32.39847971014493
12302_26977,17.505474898550727
12302_26980,12.547376811594203
12302_26981,12.328895652173914
12302_26984,9.155071304347828
12302_26989,10.393001449275362
12302_26995,11.280502898550726
12302_26999,20.977951420289855
12302_27002,44.36277115942029
12302_27003,67.09907144927539
12302_27004,93.94567391304348
12302_27007,101.21893333333335
12302_27013,7.695321739130435
12303_26980,13.61715652173913
12303_26981,12.865506014492755
12303_26983,8.208170434782609
12303_26992,8.677684057971016
12303_26994,9.391853913043478
12303_27000,21.92996550724638
12303_27005,177.07842594202896
12303_27009,27.690734492753624
12303_27011,35.93682898550725
12304_26983,10.939845507246378
12304_26987,8.681642753623189
12304_26989,17.438191304347825
12304_26992,10.286444927536232
12304_26993,7.736909855072463
12304_26996,10.865189999999998
12305_26978,48.5052
12305_26988,10.720739130434783
12305_26996,9.5917315942029
12305_27004,38.13853043478261
12305_27005,70.23834260869566
12305_27015,15.698554202898553
12305_27018,7.820804347826088
12306_26980,32.311602028985504
12306_26984,27.835200289855074
12306_26987,8.346278260869564
12306_26989,11.313289855072465
12306_26993,8.989336811594203
12306_26997,8.881817391304349
12306_27003,23.900932101449275
12306_27005,37.221015072463764
12306_27015,26.167677536231885
12306_27017,13.967546376811596
12306_27018,12.54006202898551
12307_26980,41.05384173913043
12307_26982,13.699840579710147
12307_26987,12.862368260869566
12307_26999,9.27564679710145
12307_27008,50.64481942028986
12307_27013,32.81721449275363
12307_27015,32.44569173913044
12308_26984,12.154276811594203
12308_27000,12.675640144927538
12308_27001,18.77036811594203
12308_27002,24.920302028985507
12308_27006,31.255226086956526
12308_27017,21.939101449275363
12308_27019,14.638226086956521
12308_27020,13.444827536231884
12309_26984,10.133390869565218
12309_26987,24.66024913043478
12309_26988,12.037223188405797
12309_26989,9.334239130434785
12309_26990,8.424770289855072
12309_26992,8.849695652173914
12309_26995,8.763153623188407
12309_26996,7.606313043478261
12309_26998,9.553952173913043
12309_26999,11.224679043478261
12309_27004,32.52530724637681
12309_27005,31.826295652173915
12309_27008,119.23599652173912
12309_27009,651.206087536232
12309_27018,17.88165231884058
12310_26987,27.566069275362317
12310_26988,18.198144927536234
12310_26990,9.125250144927538
12310_26995,10.998479710144931
12310_27001,21.208471014492755
12310_27010,746.2814971014493
12311_26987,31.35720884057971
12311_26994,13.14132855072464
12311_26996,12.606714782608696
12311_26997,11.75707536231884
12311_27000,19.782192028985506
12311_27010,232.93448115942027
12311_27011,48.95076376811594
12311_27013,29.51686086956522
12311_27015,22.44073971014493
12311_27016,24.558060144927538
12312_26983,16.535813043478264
12312_26984,14.763897536231884
12312_26985,10.779437681159422
12312_26993,18.80115057971015
12312_27001,30.115695652173912
12312_27002,43.23306811594203
